first_name,gender,gender_probability,gender_sample_count
abeer,female,0.92,1623
abida,female,0.7,162
abigail,female,0.98,5295
adam,male,0.98,116396
adamantia,female,0.97,68
adetunji,male,0.93,511
aditya,male,0.98,3231
ahmed,male,0.98,139051
alain,male,0.99,76390
albert,male,0.98,41504
aleix,male,0.98,1280
alejandra,female,0.98,16369
aleksandr,male,0.99,7354
alessandra,female,0.99,47882
alessandro,male,0.99,126666
alex,male,0.9,411319
alexander,male,0.99,66065
alexandre,male,0.99,61354
alice,female,0.98,68971
alison,female,0.98,25555
alphonse,male,0.97,2546
amira,female,0.97,11084
amit,male,0.99,8292
amna,female,0.97,1115
amparo,female,0.98,9043
amy,female,0.97,31233
ana,female,0.98,273767
anaeze,None,0.0,0
andreas,male,0.99,71365
andrei,male,0.97,21506
andrew,male,0.99,60301
andrewn,male,1.0,2
angela,female,0.99,106685
anja,female,0.98,28930
anke,female,0.97,6368
ann,female,0.97,28026
anna,female,0.98,383713
anne,female,0.97,78727
anne-marie,female,0.98,5857
anne-sophie,female,0.97,4583
anthony,male,0.99,98251
antoni,male,0.97,5088
antonio,male,0.99,328654
arash,male,0.98,6033
arif,male,0.97,18031
arzu,female,0.97,17457
asal,female,0.89,1077
atif,male,0.98,2643
attier-zmudka,None,0.0,0
audrey,female,0.97,54814
austin,male,0.98,4612
ayal,male,0.85,62
ayse,female,0.96,16275
banu,female,0.93,6694
bapsi,female,0.86,7
barbara,female,0.98,94709
benito,male,0.98,5639
benjamin,male,0.99,62465
bethany,female,0.97,1003
betina,female,0.98,1180
bhavana,female,0.96,83
bhavika,female,0.96,49
bill,male,0.97,15510
binghe,None,0.0,0
biyun,female,1.0,6
bjørn,male,0.99,311
bonnie,female,0.9,3712
brent,male,0.99,4210
brian,male,0.99,51483
bristol-myers,None,0.0,0
bryan,male,0.99,22678
budhi,male,0.97,146
caigang,None,0.0,0
call,male,0.75,449
canan,female,0.96,13410
carey,male,0.5,580
carl,male,0.98,17561
carla,female,0.98,72540
carlos,male,0.99,236888
carmen,female,0.98,103801
carmina,female,0.98,1674
carol,female,0.97,33721
caroline,female,0.98,64753
catherine,female,0.98,50312
cengi̇z,None,0.0,0
cezary,male,1.0,3471
chang,male,0.85,3059
charles,male,0.99,49331
charlotte,female,0.97,37761
chen,male,0.62,5003
chien-ting,None,0.0,0
ching-hung,male,1.0,2
chirag,male,1.0,809
chiun-sheng,None,0.0,0
christer,male,0.98,2672
christian,male,0.99,156233
christine,female,0.99,91004
christopher,male,0.99,53539
chuanmiao,None,0.0,0
claudia,female,0.98,118604
colleen,female,0.97,1577
corrado,male,0.99,6857
cuizhi,female,0.5,2
cynthia,female,0.99,31660
cyrille,male,0.95,9192
dan,male,0.95,55986
daniel,male,0.99,317409
darpan,male,1.0,76
david,male,0.99,501011
delay,male,0.63,56
delphine,female,0.98,34395
denis,male,0.96,57303
desiree,female,0.98,8021
diane,female,0.97,15367
doaa,female,0.98,725
dorothy,female,0.99,11523
douglas,male,0.99,9529
edward,male,0.99,22248
edyta,female,0.98,20720
elaine,female,0.98,8901
elgene,female,0.57,14
elisabetta,female,0.99,12887
eliza,female,0.99,21564
elizabeth,female,0.99,31288
emilia,female,0.98,26372
emilie,female,0.98,72741
emmanuelle,female,0.97,14356
enoch,male,0.98,959
eric,male,0.99,135071
ermelinda,female,0.99,668
esra,female,0.96,34071
estefania,female,0.99,11749
evangelos,male,1.0,507
eveline,female,0.99,4331
evelyn,female,0.98,12188
ewa,female,0.98,57904
fabrizio,male,0.99,34325
fan,male,0.56,2373
fang-i,female,1.0,1
farin,female,0.5,72
fatma,female,0.97,34628
federico,male,0.99,43663
fei,male,0.54,1207
fengxi,male,1.0,1
filippo,male,0.99,27899
fiona,female,0.97,11154
folke,male,0.92,120
francisco,male,0.99,98797
fredrik,male,0.99,9106
gabriel,male,0.98,52559
gabrielle,female,0.95,4965
gal-yam,None,0.0,0
gary,male,0.99,29381
gehan,female,0.75,122
geoffrey,male,0.99,14049
geok,female,0.81,118
georges,male,0.98,18119
gianluca,male,0.99,41833
gilles,male,0.99,26205
gilmar,male,0.97,484
giovanni,male,0.99,104824
glauco,male,0.99,542
global,male,0.88,120
graciela,female,0.98,3285
gregory,male,0.99,25701
guillaume,male,0.99,58261
gulseren,female,0.96,248
gustav,male,0.98,2901
gwo,male,0.83,18
gülseren,None,0.0,0
halle,female,0.67,181
hanae,female,0.98,2215
hans,male,0.97,37182
haotian,male,1.0,18
hardeep,male,0.87,309
hazem,male,0.98,3411
heather,female,0.98,6049
helena,female,0.99,40369
herui,male,1.0,1
hesham,male,0.97,3513
hoda,female,0.94,2444
hong-gu,male,1.0,1
hope,female,0.69,3238
hu,male,0.71,849
hui-ming,None,0.0,0
huiping,female,0.89,28
huma,female,0.85,496
hung,male,0.93,1806
hung-wen,male,1.0,4
hyung,male,0.95,821
icing,male,0.57,14
icro,male,0.67,3
ilana,female,0.99,621
ilknur,female,0.97,6914
in,female,0.73,3007
irene,female,0.99,50462
isabelle,female,0.99,89728
isacco,male,0.99,193
ivana,female,0.99,38850
jacek,male,0.99,31243
jacobio,None,0.0,0
james,male,0.99,117309
jami,male,0.6,1076
jamie,male,0.81,19333
jan,male,0.95,142869
janice,female,0.98,6277
javier,male,0.99,106497
jayant,male,0.99,320
jayanthi,female,0.97,96
jean,male,0.95,196185
jean-pierre,male,0.99,12826
