role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Cristiane Takita, MD, MBA",University of Miami,,NCT04360330,cristiane takita,cristiane
Principal Investigator,"ANNE TARDIVON, MD",Institut Curie,,NCT04217109,anne tardivon,anne
Principal Investigator,"Osama Hussein, MD, PhD",Mansoura University Faculty of Medicine,,NCT04387630,osama hussein,osama
Study Chair,"Michal Mego, Prof","National Cancer Institute, Slovakia",,NCT04265274,michal mego,michal
Principal Investigator,"Vanessa A Scontre, MD",Instituto do Cancer do Estado de São Paulo,,NCT04350229,vanessa a scontre,vanessa
Study Chair,"YU Zhiyong, PhD",Shandong Cancer Hospital and Institute,,NCT04302415,yu zhiyong,yu
Principal Investigator,"WANG Fukai, MM",Shandong Cancer Hospital and Institute,,NCT04302415,wang fukai,wang
Principal Investigator,"George Foutzilas, MD",Hellenic Cooperative Oncology Group,,NCT04365790,george foutzilas,george
Principal Investigator,Vladimir I Chernov,Tomsk NRMC,,NCT04277338,vladimir i chernov,vladimir
Principal Investigator,"Kenneth GA Gilhuijs, PhD",UMC Utrecht,,NCT04223492,kenneth ga gilhuijs,kenneth
Study Chair,"Christoph Tausch, MD","Brust-Zentrum, Zürich",,NCT04289935,christoph tausch,christoph
Principal Investigator,"Shu-lian Wang, M.D","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04320979,shu-lian wang,shu-lian
Study Chair,"Ye-xiong Li, M.D","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04320979,ye-xiong li,ye-xiong
Principal Investigator,"Songjie Shen, MD","Department of Breast Surgery, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China",,NCT04429269,songjie shen,songjie
Principal Investigator,"Ajay Dhakal, MBBS",University of Rochester,,NCT04419181,ajay dhakal,ajay
Principal Investigator,DERYA ÇINAR,İzmir Bakırçay University,,NCT04315012,derya çinar,derya
Principal Investigator,"Catherine UZAN, Md PhD",Pitié Salpêtrière Hospital AP-HP,,NCT04292821,catherine uzan,catherine
Principal Investigator,"Silvia Formenti, M.D.",Weill Cornell Medicine,,NCT04220476,silvia formenti,silvia
Principal Investigator,"Christiane Matuschek, MD","University Hosptial Duesseldorf, Department of Radiotherapy and Radiooncology",,NCT04261244,christiane matuschek,christiane
Principal Investigator,"Pin ZHANG, MD",Chinese Academy of Medical Sciences,,NCT04437160,pin zhang,pin
Principal Investigator,Baitha P. Maggadani,"Department of Pharmacy, University of Indonesia",,NCT04312347,baitha p. maggadani,baitha
Principal Investigator,"Zhimin Shao, Professor",Fudan University,,NCT04296175,zhimin shao,zhimin
Study Chair,"Herui Yao, PhD","Sun Yat-sen Memorial Hospital,Sun Yat-sen University",,NCT04258163,herui yao,herui
Study Chair,"Zhaohui Zhu, MD,PHD","Peking Union Medical College Hospital, Chinese Academy of Medical Science and Peking Union Medical College",,NCT04267900,zhaohui zhu,zhaohui
Study Director,"Gülçin NACAR, Msc",Inonu University,,NCT04225741,gülçin nacar,gülçin
Study Chair,"Güldeniz Karadeniz Cakmak, MD",Bülent Ecevit University Department of Surgery,,NCT04274946,güldeniz karadeniz cakmak,güldeniz
Study Director,"Rabiye Uslu Erdemir, MD",Bülent Ecevit University Department of Nucleer Medicine,,NCT04274946,rabiye uslu erdemir,rabiye
Principal Investigator,"Hakan Bakkal, MD",Bülent Ecevit University Department of Radiation Oncology,,NCT04274946,hakan bakkal,hakan
